subject_id,instruction_2.stopped,Videos.stopped,condition,encoding_duration_sec,encoding_duration_min,passes_vigilance
sub52,37.323864199919626,1573.316330499947,NB,1535.9924663000274,25.599874438333792,True
sub53,20.44190939993132,1602.8437447999604,NB,1582.401835400029,26.37336392333382,True
sub54,19.06171819998417,1566.3496899000602,NB,1547.287971700076,25.788132861667933,True
sub55,20.79102099989541,1540.7273342999397,NB,1519.9363133000443,25.33227188833407,True
sub56,24.13463850005064,1589.868600500049,NB,1565.7339619999984,26.095566033333306,True
sub57,31.376775300013833,1553.2606679999735,NB,1521.8838926999597,25.364731544999326,True
sub58,16.63270089996513,1567.13146840001,NB,1550.4987675000448,25.841646125000747,True
sub59,19.32537830004003,1553.8163781000767,NB,1534.4909998000367,25.57484999666728,True
sub60,22.88096380000934,1563.481396600022,NB,1540.6004328000126,25.676673880000212,True
sub61,16.81417969999893,1545.9145266999983,NB,1529.1003469999994,25.485005783333325,True
sub62,26.181623199998285,1547.0991049000004,NB,1520.917481700002,25.348624695000034,True
sub63,27.452243100000487,1549.5083989999985,NB,1522.056155899998,25.3676025983333,True
sub64,28.57325739999942,1599.2168996000037,NB,1570.6436422000043,26.177394036666737,True
sub65,23.13701620000211,1555.0896733000045,NB,1531.9526571000024,25.53254428500004,True
sub66,34.682446400001936,1590.4747867000042,NB,1555.7923403000023,25.92987233833337,True
sub67,28.16714969999157,1551.6491682999913,NB,1523.4820185999997,25.391366976666664,True
sub68,24.695325499997125,1545.2427364999894,NB,1520.5474109999923,25.34245684999987,True
sub69,48.41780870000366,1654.9573485,NB,1606.5395397999964,26.775658996666607,True
sub70,13.206206400005613,1598.2094212999946,NB,1585.003214899989,26.41672024833315,True
sub71,15.453085300003297,1555.2488928000091,NB,1539.7958075000058,25.66326345833343,True
sub72,18.929189100002983,1564.445169700004,NB,1545.515980600001,25.758599676666684,True
sub73,34.37765360000776,1570.442893200001,NB,1536.0652395999932,25.601087326666555,True
sub74,19.445838400002685,1555.1040052000026,NB,1535.6581668,25.59430278,True
sub75,22.86914059999981,1582.9488120000024,NB,1560.0796714000026,26.00132785666671,True
sub76,26.8624756999925,1565.4218118000135,NB,1538.559336100021,25.642655601667016,True
sub77,31.523088099987945,1563.0111612000037,NB,1531.4880731000158,25.524801218333597,True
sub78,16.7282436999958,1536.0900434000068,NB,1519.361799700011,25.32269666166685,True
sub79,28.27577310000197,1569.0626093000174,NB,1540.7868362000154,25.67978060333359,True
sub80,15.864737099997,1564.5206748999772,NB,1548.6559377999802,25.810932296666337,True
sub81,68.46795970000676,1611.4167660000094,NB,1542.9488063000026,25.715813438333377,True
sub82,23.212925600004382,1566.478837599978,NB,1543.2659119999737,25.721098533332896,True
sub83,13.01324480000767,1554.3347900999945,NB,1541.3215452999868,25.68869242166645,True
sub84,35.78395640000235,1584.4861656999856,NB,1548.7022092999832,25.811703488333055,True
sub85,20.76714240000001,1553.7585689999978,NB,1532.9914265999978,25.549857109999962,True
sub86,18.003210399998352,1555.9697325999732,NB,1537.9665221999749,25.63277536999958,True
sub87,18.735653300012928,1553.190834900015,NB,1534.455181600002,25.574253026666703,True
